run_id,timestamp,model,method,bits,outlier_percent,group_size,residual_length,first_few_fp16,task,context_len,batch_size,prefill_tokens,decode_tokens,seed,success,oom,error_msg
20260427T052304Z_21a4c46a,2026-04-27T05:24:33.942381+00:00,llama3_8b,fp16,2,0.0,32,128,0,ppl_wikitext2,4096,1,512,3584,0,1,0,
20260427T052433Z_765fedd6,2026-04-27T05:24:34.436203+00:00,llama3_8b,fp16,2,0.0,32,128,0,passkey,2048,1,2048,10,0,1,0,
20260427T052434Z_de48726f,2026-04-27T05:24:35.034606+00:00,llama3_8b,fp16,2,0.0,32,128,0,passkey,4096,1,4096,10,0,1,0,
20260427T052435Z_12664a7c,2026-04-27T05:24:36.038910+00:00,llama3_8b,fp16,2,0.0,32,128,0,passkey,8192,1,8192,10,0,1,0,
20260427T052436Z_c8a1febe,2026-04-27T05:24:38.273510+00:00,llama3_8b,fp16,2,0.0,32,128,0,passkey,16384,1,16384,10,0,1,0,
20260427T052438Z_8887aefe,2026-04-27T05:24:41.423099+00:00,llama3_8b,fp16,2,0.0,32,128,0,passkey,32768,1,32768,10,0,0,1,"CUDA out of memory. Tried to allocate 29.67 GiB. GPU 0 has a total capacity of 79.25 GiB of which 17.31 GiB is free. Including non-PyTorch memory, this process has 61.93 GiB memory in use. Of the allocated memory 31.54 GiB is allocated by PyTorch, and 29.90 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
20260427T052441Z_33d2d9af,2026-04-27T05:24:41.985490+00:00,llama3_8b,fp16,2,0.0,32,128,0,memory_peak,2048,1,2048,10,0,1,0,
20260427T052441Z_ae622e87,2026-04-27T05:24:42.676327+00:00,llama3_8b,fp16,2,0.0,32,128,0,memory_peak,4096,1,4096,10,0,1,0,
20260427T052442Z_76fab85a,2026-04-27T05:24:43.731070+00:00,llama3_8b,fp16,2,0.0,32,128,0,memory_peak,8192,1,8192,10,0,1,0,
20260427T052443Z_4a90404b,2026-04-27T05:24:45.969833+00:00,llama3_8b,fp16,2,0.0,32,128,0,memory_peak,16384,1,16384,10,0,1,0,
20260427T052445Z_991db0e1,2026-04-27T05:24:46.614597+00:00,llama3_8b,fp16,2,0.0,32,128,0,memory_peak,32768,1,32768,10,0,0,1,"CUDA out of memory. Tried to allocate 29.67 GiB. GPU 0 has a total capacity of 79.25 GiB of which 2.50 GiB is free. Including non-PyTorch memory, this process has 76.74 GiB memory in use. Of the allocated memory 31.54 GiB is allocated by PyTorch, and 44.70 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
20260427T052446Z_b991beaa,2026-04-27T05:24:50.132011+00:00,llama3_8b,fp16,2,0.0,32,128,0,decode_latency,4096,1,4096,64,0,1,0,
20260427T052450Z_772dc5d0,2026-04-27T05:24:50.408611+00:00,llama3_8b,fp16,2,0.0,32,128,0,throughput_prefill,4096,1,4096,0,0,1,0,
20260427T052450Z_8fe22602,2026-04-27T05:24:50.947275+00:00,llama3_8b,fp16,2,0.0,32,128,0,throughput_prefill,4096,2,4096,0,0,1,0,
20260427T052450Z_7d203c33,2026-04-27T05:24:52.002664+00:00,llama3_8b,fp16,2,0.0,32,128,0,throughput_prefill,4096,4,4096,0,0,1,0,
20260427T052452Z_2337f9b9,2026-04-27T05:24:54.082831+00:00,llama3_8b,fp16,2,0.0,32,128,0,throughput_prefill,4096,8,4096,0,0,1,0,
20260427T052454Z_2768130a,2026-04-27T05:24:58.263232+00:00,llama3_8b,fp16,2,0.0,32,128,0,throughput_prefill,4096,16,4096,0,0,1,0,
20260427T052458Z_7bda4728,2026-04-27T05:24:58.268201+00:00,llama3_8b,fp16,2,0.0,32,128,0,max_batch_search,4096,16,4096,0,0,1,0,
20260427T052458Z_b21a05c2,2026-04-27T05:24:58.398723+00:00,llama3_8b,fp16,2,0.0,32,128,0,memory_scaling,2048,1,2048,1,0,1,0,
20260427T052458Z_36ca3c63,2026-04-27T05:24:58.689291+00:00,llama3_8b,fp16,2,0.0,32,128,0,memory_scaling,4096,1,4096,1,0,1,0,
